Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2013,FIAT,LINEA,DIESEL,MANUAL,119960
2013,FIAT,LINEA,DIESEL,MANUAL,141018
2011,RENAULT,FLUENCE,DIESEL,MANUAL,181956
2013,FIAT,LINEA,DIESEL,MANUAL,107962
2012,FORD,FIESTA,DIESEL,MANUAL,73036
2013,FIAT,LINEA,DIESEL,MANUAL,125948
2013,RENAULT,SYMBOL,DIESEL,MANUAL,84170
2013,RENAULT,SYMBOL,DIESEL,MANUAL,129409
2013,RENAULT,CLIO_III,DIESEL,MANUAL,163316
2006,OPEL,ASTRA,PETROL,AUTOMATIC,166587
2011,RENAULT,FLUENCE,DIESEL,MANUAL,132972
2013,CITROEN,C_ELYSEE,DIESEL,MANUAL,127042
2013,RENAULT,SYMBOL,DIESEL,MANUAL,157683
2013,RENAULT,SYMBOL,DIESEL,MANUAL,151754
2013,HYUNDAI,I20,DIESEL,MANUAL,141800
2013,RENAULT,SYMBOL,DIESEL,MANUAL,133549
2013,FIAT,PUNTO,DIESEL,MANUAL,109154
2013,RENAULT,SYMBOL,DIESEL,MANUAL,"134519,0"
2013,RENAULT,CLIO_III,DIESEL,MANUAL,208705
2013,RENAULT,CLIO_III,DIESEL,MANUAL,108615
2013,RENAULT,FLUENCE,DIESEL,MANUAL,194688
2013,RENAULT,CLIO_III,DIESEL,MANUAL,184400
2015,RENAULT,SYMBOL,DIESEL,MANUAL,72015
2014,DACIA,LOGAN,DIESEL,MANUAL,28767
2013,DACIA,LODGY,DIESEL,MANUAL,133945
2013,PEUGEOT,301,DIESEL,MANUAL,79436
2014,RENAULT,SYMBOL,DIESEL,MANUAL,83728
2013,OPEL,CORSA,DIESEL,MANUAL,154558
2013,RENAULT,FLUENCE,DIESEL,MANUAL,202877
2013,RENAULT,SYMBOL,DIESEL,MANUAL,104281
2013,RENAULT,FLUENCE,DIESEL,MANUAL,188497
2013,FIAT,LINEA,DIESEL,MANUAL,114333
2013,RENAULT,CLIO_III,DIESEL,MANUAL,147354
2013,RENAULT,CLIO_III,DIESEL,MANUAL,127905
2013,RENAULT,CLIO_III,DIESEL,MANUAL,169243
2013,RENAULT,CLIO,DIESEL,MANUAL,146096
2013,RENAULT,SYMBOL,DIESEL,MANUAL,104677
2014,PEUGEOT,301,DIESEL,MANUAL,93418
2013,RENAULT,FLUENCE,DIESEL,MANUAL,196723
2013,HYUNDAI,I20,DIESEL,MANUAL,"75052,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,232599
2013,HYUNDAI,I20,DIESEL,MANUAL,81993
2013,FIAT,LINEA,DIESEL,MANUAL,106316
2013,HYUNDAI,I20,DIESEL,MANUAL,79405
2013,RENAULT,CLIO_III,DIESEL,MANUAL,123625
2013,RENAULT,CLIO_III,DIESEL,MANUAL,106578
2013,DACIA,LODGY,DIESEL,MANUAL,69087
2013,RENAULT,FLUENCE,DIESEL,MANUAL,176081
2014,FIAT,LINEA,DIESEL,MANUAL,79605
2013,RENAULT,CLIO_III,DIESEL,MANUAL,141553
2013,RENAULT,KANGOO,DIESEL,MANUAL,127748
2013,RENAULT,FLUENCE,DIESEL,MANUAL,221513
2013,RENAULT,CLIO,DIESEL,MANUAL,132622
2013,RENAULT,KANGOO,DIESEL,MANUAL,90786
2013,RENAULT,CLIO_III,DIESEL,MANUAL,82162
2013,RENAULT,FLUENCE,DIESEL,MANUAL,135841
2013,RENAULT,CLIO_III,DIESEL,MANUAL,78834
2013,RENAULT,FLUENCE,DIESEL,MANUAL,194499
